aprenda-uat.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprenda-usdev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprenda-uspreprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprenda-usuat.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aprende-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende-uat.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende-usdev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende-uspreprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprende-usuat.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-2018.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-2018-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-2018-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.facebookbrand-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
argentina.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ar.yearinreview.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asahdigital.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ash-appstore.fb.com AS54115 AS54115 - FACEBOOK INC US 163.114.130.0/24
ash-fsoutpost.fb.com AS54115 AS54115 - FACEBOOK INC US 163.114.130.0/24
ash-fs.sales.fb.com AS54115 AS54115 - FACEBOOK INC US 163.114.130.0/24
ash-vsp.fb.com AS54115 AS54115 - FACEBOOK INC US 163.114.130.0/24
ath-o1-primary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.120.0.0/14
ath-o1-secondary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 16.16.0.0/16
ath-o1.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 13.48.0.0/15
ath-o2-primary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.58.0.0/15
ath-o2-secondary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 13.40.0.0/14
ath-o2.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.8.0.0/14
ath-o3-primary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 54.93.64.0/18
ath-o3-secondary.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 13.48.0.0/15
ath-o3.supernova.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 13.48.0.0/15
audio360.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
au.newsroom.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
australia.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
autodiscover.bi.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.binariof.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.business.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.cl.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.co.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.comm.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.creators.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.dro.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.extern.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.fbp.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.fmp.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.infra.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.infraoutpost.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
autodiscover.mediapartnerships.fb.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.96.0.0/14
